Formatter, loc, ns
scalafmt, 62, 77585618
scalafmt, 140, 130286643
scalariform, 9, 20979304
scalafmt, 8, 2395577
scalariform, 8, 949861
scalafmt, 3, 266584
scalafmt, 203, 223803578
scalariform, 3, 6946251
scalafmt, 4, 331880
scalariform, 4, 668743
scalafmt, 3, 1154706
scalariform, 3, 1241980
scalariform, 62, 20257480
scalafmt, 8, 2107229
scalariform, 8, 786109
scalafmt, 4, 581058
scalariform, 4, 1320862
scalafmt, 3, 268762
scalariform, 3, 546161
scalafmt, 10, 2564218
scalariform, 10, 1970620
scalafmt, 17, 7221250
scalariform, 17, 2686512
scalariform, 140, 41613731
scalafmt, 14, 4947181
scalariform, 14, 1653741
scalafmt, 1, 343858
scalariform, 1, 668167
scalafmt, 49, 34473134
scalafmt, 4, 5192043
scalafmt, 33, 14443910
scalariform, 49, 7252558
scalafmt, 115, 108970879
scalariform, 203, 57623274
scalafmt, 3, 9115872
scalariform, 3, 907146
scalariform, 33, 13293029
scalafmt, 7, 3430115
scalariform, 7, 1500892
scalafmt, 16, 19803219
scalariform, 16, 3413564
scalafmt, 59, 32047035
scalariform, 115, 33394812
scalariform, 59, 6618447
scalafmt, 26, 9817013
scalafmt, 47, 48897954
scalariform, 26, 3751194
scalafmt, 55, 325399515
scalariform, 47, 7624771
scalafmt, 16, 8081086
scalariform, 16, 2791433
scalariform, 55, 9699426
scalafmt, 25, 1422199
scalariform, 25, 2753075
scalafmt, 3, 356925
scalariform, 3, 702219
scalafmt, 4, 405321
scalariform, 4, 878416
scalafmt, 73, 28453793
scalafmt, 1, 213933
scalariform, 1, 9782024
scalafmt, 3, 550952
scalariform, 3, 777275
scalafmt, 7, 1043121
scalariform, 7, 1494556
scalariform, 73, 17789911
scalafmt, 13, 3863658
scalariform, 13, 1538127
scalafmt, 8, 2652565
scalafmt, 19, 9705893
scalariform, 8, 810446
scalariform, 19, 2076066
scalafmt, 129, 92524861
scalafmt, 14, 4166206
scalariform, 14, 1353112
scalafmt, 10, 4262135
scalariform, 10, 1537269
scalafmt, 7, 670476
scalariform, 7, 1516493
scalariform, 129, 17947541
scalafmt, 49, 59243957
scalariform, 49, 7055255
scalafmt, 13, 11555056
scalariform, 13, 1212261
scalafmt, 127, 94623760
scalafmt, 41, 32119273
scalafmt, 17, 3074707
scalafmt, 84, 80398609
scalariform, 17, 3504647
scalariform, 41, 7201221
scalariform, 84, 11820769
scalafmt, 6, 15626165
scalariform, 6, 783862
scalafmt, 8, 961565
scalariform, 8, 3452978
scalafmt, 2, 343946
scalariform, 2, 658724
scalafmt, 1, 238388
scalariform, 1, 446383
scalafmt, 4, 526857
scalariform, 4, 1189765
scalafmt, 11, 6620211
scalariform, 11, 1533785
scalafmt, 4, 398785
scalafmt, 296, 378369585
scalariform, 4, 8149188
scalariform, 127, 55639191
scalafmt, 128, 50102452
scalafmt, 61, 42854921
scalafmt, 7, 10117641
scalariform, 7, 772318
scalariform, 61, 8027271
scalafmt, 64, 72370579
scalafmt, 8, 23355187
scalariform, 8, 1593070
scalafmt, 12, 2684703
scalariform, 64, 22886285
scalariform, 12, 1574360
scalafmt, 6, 471254
scalariform, 6, 1052789
scalariform, 128, 37819893
scalariform, 296, 72468485
scalafmt, 18, 21884335
scalariform, 18, 3283345
scalafmt, 9, 1645527
scalariform, 9, 587239
scalafmt, 13, 5649997
scalariform, 13, 1200652
scalafmt, 38, 35419634
scalafmt, 7, 7453506
scalariform, 38, 7808428
scalariform, 7, 2664137
scalafmt, 18, 1943524
scalariform, 18, 2623703
scalafmt, 111, 95321163
scalafmt, 45, 28404931
scalafmt, 32, 23741515
scalariform, 32, 3917525
scalafmt, 10, 2468206
scalariform, 10, 739599
scalafmt, 60, 87944182
scalafmt, 58, 64890299
scalafmt, 41, 2111049
scalariform, 45, 17522187
scalariform, 111, 35219140
scalariform, 41, 6380154
scalafmt, 26, 3663229
scalariform, 60, 11706679
scalariform, 26, 1252788
scalariform, 58, 13729378
scalafmt, 7, 2937365
scalariform, 7, 6139215
scalafmt, 16, 6171344
scalariform, 16, 5944764
scalafmt, 1, 284413
scalariform, 1, 591687
scalafmt, 7, 1554975
scalariform, 7, 8664011
scalafmt, 47, 42089117
scalafmt, 42, 39963727
scalariform, 47, 10259825
scalafmt, 218, 251209453
scalafmt, 43, 50055085
scalariform, 42, 8319923
scalafmt, 6, 18586202
scalariform, 6, 4795859
scalafmt, 7, 6722434
scalariform, 43, 14055364
scalariform, 7, 1410460
scalafmt, 14, 1215518
scalafmt, 27, 17813782
scalariform, 14, 3694660
scalafmt, 88, 76309266
scalafmt, 14, 2278500
scalariform, 14, 1250910
scalafmt, 14, 1445421
scalariform, 27, 7253558
scalariform, 14, 1456235
scalafmt, 141, 202559548
scalafmt, 7, 3020405
scalariform, 7, 1002817
scalariform, 88, 22722043
scalafmt, 10, 14154127
scalariform, 10, 1054391
scalafmt, 6, 765324
scalariform, 6, 982634
scalafmt, 19, 1241756
scalariform, 19, 2155740
scalafmt, 14, 1136094
scalariform, 14, 2894739
scalafmt, 18, 1348778
scalariform, 18, 2059508
scalafmt, 2, 422274
scalariform, 2, 519651
scalafmt, 4, 429543
scalariform, 4, 775364
scalafmt, 6, 518394
scalariform, 6, 873684
scalafmt, 5, 1212708
